"","stabr","fscskey","libid","libname","address","city","zip","zip4","addres_m2002","city_m2002","zip_m2002","zip4_m2002","cnty","phone2002","web_addr2002","c_relatn","c_legbas","c_admin","c_fscs","geocode2002","popu_lsa2002","popu_und2002","centlib2002","branlib2002","bkmob2002","master2002","libraria2002","othpaid2002","totstaff2002","locgvt2002","stgvt2002","fedgvt2002","othincm2002","totincm2002","salaries2002","benefit2002","staffexp2002","totexpco2002","othopexp2002","totopexp2002","capital2002","bkvol2002","audio2002","video2002","subscrip2002","hrs_open2002","visits2002","referenc2002","totcir2002","loanto2002","loanfm2002","kidcircl2002","kidatten2002","elmatexp2002","elaccexp2002","elmats2002","elsvcacc2002","inetacc2002","stfterms2002","gpterms2002","eres_usr2002","pub_fips2002","cntyfips2002","yr_sub2002","obereg2002","rstatus2002"
"5689","NY","NY0111","2000096930","DODGE LIBRARY","9 ROUTE 348","WEST CHAZY","12992","0353","P.O. BOX 226","WEST CHAZY","12992","0353","CLINTON","5184936131","M","ME","SC","SO","Y","SD1",1100,1100,1,0,0,0,0.5,0,0.5,6350,1500,0,8532,16382,NA,NA,NA,5243,NA,18912,0,8822,65,50,10,1040,4460,304,7578,5,44,6787,75,0,259,25,"N","Y",1,1,5,"36","019",2003,"02",1
"5690","NY","NY0112","2000150350","AUSABLE FORKS FREE LIBRARY","9 CHURCH STREET","AUSABLE FORKS","12912","0179","P.O. BOX 179","AUSABLE FORKS","12912","0179","ESSEX","5186475596","M","ME","NP","SO","Y","OTH",3966,3966,1,0,0,0,0.62,0.25,0.87,16000,1500,0,52225,69725,NA,NA,NA,4878,NA,60534,0,15745,254,744,16,1352,12519,2762,12519,142,144,3557,40,0,0,25,"N","Y",1,3,50,"36","031",2003,"02",1
"5691","NY","NY0113","2000151660","HAMMOND LIBRARY OF CROWN POINT, N. Y.","MAIN STREET","CROWN POINT","12928","0245","P.O. BOX 245","CROWN POINT","12928","0245","ESSEX","5185973616","WWW.HAMMONDLIBRARY.COM","ME","SC","SO","Y","SD1",2105,2105,1,0,0,0,0.68,0,0.68,20000,2892,0,4738,27630,NA,NA,NA,4653,NA,28398,393,8221,117,480,28,1300,4735,1245,5243,25,20,2118,361,0,186,36,"N","Y",1,3,15,"36","031",2003,"02",1
"5692","NY","NY0114","2000152070","ELIZABETHTOWN LIBRARY ASSOCIATION","8256 RIVER STREET","ELIZABETHTOWN","12932","0007","P.O. BOX 7","ELIZABETHTOWN","12932","0007","ESSEX","5188732670","M","ME","NP","SO","Y","OTH",1315,1315,1,0,0,0,0.4,0.1,0.5,8000,1800,0,17692,27492,NA,NA,NA,3987,NA,25697,0,6567,146,316,27,1040,4730,306,8731,75,450,2207,75,0,300,20,"Y","Y",1,2,40,"36","031",2003,"02",1
"5693","NY","NY0115","2000152160","BELDEN NOBLE MEMORIAL LIBRARY OF ESSEX","MAIN STREET","ESSEX","12936","0339","P.O. BOX 339","ESSEX","12936","0339","ESSEX","5189638079","M","ME","NP","SO","Y","OTH",713,713,1,0,0,0,0.25,0,0.25,7000,1550,0,2893,11443,NA,NA,NA,1758,NA,9210,0,5007,715,50,34,884,1636,27,1871,0,55,450,0,0,227,3,"N","Y",0,1,5,"36","031",2003,"02",1
"5694","NY","NY0116","2000153350","KEENE PUBLIC LIBRARY","ROUTES 9N & 73","KEENE","12942","M","P.O. BOX 206","KEENE","12942","M","ESSEX","5185762200","M","ME","CI","SO","Y","OTH",1063,1063,1,0,0,0,0.55,1.1,1.65,31755,1500,0,1825,35080,NA,NA,NA,4363,NA,27146,0,12766,78,649,19,1144,4555,274,13410,1,0,6565,48,0,239,0,"Y","Y",1,2,20,"36","031",2003,"02",1
"5695","NY","NY0117","2000153360","KEENE VALLEY PUBLIC LIBRARY","1796 MAIN STREET RT. 73","KEENE VALLEY","12943","0086","P.O. BOX 86","KEENE VALLEY","12943","0086","ESSEX","5185764335","M","ME","NP","SO","Y","OTH",350,350,1,0,0,0,0.75,0.35,1.1,10200,1500,0,52818,64518,NA,NA,NA,7528,NA,62613,0,22562,865,828,60,1306,8859,663,11861,346,279,2846,364,0,720,1,"Y","Y",1,6,33,"36","031",2003,"02",1
"5696","NY","NY0118","2000153370","KEESEVILLE FREE LIBRARY","1721 FRONT STREET","KEESEVILLE","12944","3619","1721 FRONT STREET","KEESEVILLE","12944","3619","ESSEX","5188349054","-3","ME","NP","SO","Y","OTH",1850,1850,1,0,0,0,0.6,0,0.6,16125,1500,0,8747,26372,NA,NA,NA,6137,NA,28621,0,11012,156,297,34,1224,5421,177,12721,121,810,3151,95,0,190,60,"Y","Y",1,4,40,"36","031",2003,"02",1
"5697","NY","NY0119","2000153500","LAKE PLACID PUBLIC LIBRARY","67 MAIN STREET","LAKE PLACID","12946","M","67 MAIN STREET","LAKE PLACID","12946","M","ESSEX","5185233200","WWW.LAKEPLACIDLIBRARY.ORG","ME","SC","SO","Y","SD1",5899,5899,1,0,0,0,3.99,0.57,4.56,111854,1720,0,8041,121615,95914,7337,103251,9066,21455,133772,38866,23269,2068,656,59,2262,31324,2813,34272,370,579,11409,1163,0,0,27,"Y","Y",4,5,75,"36","031",2003,"02",1
"5698","NY","NY0120","2000155280","SHERMAN FREE LIBRARY","20 CHURCH STREET","PORT HENRY","12974","1215","20 CHURCH STREET","PORT HENRY","12974","1215","ESSEX","5185467461","WWW.PORTHENRY.COM/PHFRAMES/LIBRARY.HTM","ME","NP","SO","Y","OTH",1152,1152,1,0,0,0,0.5,0.15,0.65,10000,1500,0,14967,26467,NA,NA,NA,2192,NA,20042,0,9908,132,115,12,1010,2964,13,4083,4,79,820,24,0,0,0,"N","Y",0,3,5,"36","031",2003,"02",1
"5699","NY","NY0121","2000155945","SCHROON LAKE PUBLIC LIBRARY","15 LELAND AVENUE","SCHROON LAKE","12870","0398","P.O. BOX 398","SCHROON LAKE","12870","0398","ESSEX","5185327737","M","ME","CI","SO","Y","OTH",1759,1759,1,0,0,0,0.5,0.5,1,20539,1500,0,8754,30793,NA,NA,NA,5960,NA,26901,0,18557,233,311,13,1237,7371,1445,15037,89,528,6501,391,0,0,33,"Y","Y",1,2,20,"36","031",2003,"02",1
"5700","NY","NY0122","2000156440","TICONDEROGA PUBLIC LIBRARY","99 MONTCALM STREET","TICONDEROGA","12883","1316","99 MONTCALM STREET","TICONDEROGA","12883","1316","ESSEX","5185857380","M","ME","CI","SO","Y","OTH",5167,5167,1,0,0,0,0.88,1.75,2.63,55950,2896,0,9814,68660,34535,1068,35603,19184,13873,68660,0,14476,239,325,37,1820,26843,930,24560,69,231,4765,281,0,270,3,"Y","Y",2,4,60,"36","031",2003,"02",1
"5701","NY","NY0123","2000156580","WELLS MEMORIAL LIBRARY","ROUTE 9N","UPPER JAY","12987","0057","P.O. BOX 57","UPPER JAY","12987","0057","ESSEX","5189462644","WWW.WELLSMEMORIALLIBRARY.HOMESTEAD.COM","ME","NP","SO","Y","SD1",2000,2000,1,0,0,0,0.5,0,0.5,4210,1500,0,17395,23105,NA,NA,NA,1539,NA,17037,6297,12652,114,587,59,1040,4427,277,4172,34,334,1945,215,0,0,57,"Y","Y",0,4,15,"36","031",2003,"02",1
"5702","NY","NY0124","2000156700","WADHAMS FREE LIBRARY","763 NYS ROUTE 22","WADHAMS","12993","M","763 NYS ROUTE 22","WADHAMS","12993","M","ESSEX","5189628717","M","ME","NP","SO","Y","OTH",250,250,1,0,0,0,0.25,0.15,0.4,3500,1500,0,10232,15232,NA,NA,NA,3111,NA,16682,2159,7518,0,0,12,750,1200,1000,2676,10,82,1227,579,0,545,20,"Y","Y",0,3,20,"36","031",2003,"02",1
"5703","NY","NY0125","2000157050","WESTPORT LIBRARY ASSOCIATION","6 HARRIS LANE","WESTPORT","12993","0436","P.O. BOX 436","WESTPORT","12993","0436","ESSEX","5189628219","M","ME","NP","SO","Y","OTH",1362,1362,1,0,0,0.62,0.62,0.25,0.87,4000,1520,0,32119,37639,NA,NA,NA,9852,NA,55965,0,13941,300,165,25,1040,8000,810,8750,155,258,2086,1032,0,300,50,"Y","Y",0,3,50,"36","031",2003,"02",1
"5704","NY","NY0126","2000157140","PAINE MEMORIAL LIBRARY","1 SCHOOL STREET","WILLSBORO","12996","3727","1 SCHOOL STREET","WILLSBORO","12996","3727","ESSEX","5189634478","M","ME","NP","SO","Y","OTH",1903,1903,1,0,0,0,1,1.5,2.5,14500,8410,0,85111,108021,43753,4349,48102,11775,29532,89409,0,14748,931,67,18,2520,14527,1448,26791,139,226,9983,3136,0,1002,5,"Y","Y",2,4,255,"36","031",2003,"02",1
"5705","NY","NY0127","2000157145","WILMINGTON E.M. COOPER MEMORIAL P L","ROUTE 86","WILMINGTON","12997","0029","P.O BOX 29","WILMINGTON","12997","0029","ESSEX","5189467701","M","ME","CI","SO","Y","OTH",1131,1131,1,0,0,0,0.6,0,0.6,14303,1705,0,6388,22396,NA,NA,NA,2322,NA,19171,0,5598,208,150,4,1152,7956,200,3561,56,325,1214,348,0,0,28,"Y","Y",1,2,10,"36","031",2003,"02",1
"5706","NY","NY0128","2000161250","CHATEAUGAY MEMORIAL LIBRARY","191 EAST MAIN STREET","CHATEAUGAY","12920","0010","P.O. BOX 10","CHATEAUGAY","12920","0010","FRANKLIN","5184976931","M","ME","NP","SO","Y","SD1",3360,3360,1,0,0,0,0.62,0,0.62,19840,2300,0,2826,24966,NA,NA,NA,3722,NA,18963,0,8007,46,148,9,1300,4298,557,5057,29,31,1946,230,0,0,14,"Y","Y",1,2,3,"36","033",2003,"02",1
"5707","NY","NY0129","2000162975","AKWESASNE CULTURAL CENTER, INC.","321 STATE ROUTE 37","HOGANSBURG","13655","3114","321 STATE ROUTE 37","HOGANSBURG","13655","3114","FRANKLIN","5183582240","WWW.NC3R.ORG/AKWLIBR/","ME","NL","MO","Y","OTH",5351,5351,1,0,1,0,2.5,3.5,6,0,217158,0,5497,222655,112653,29731,142384,21166,68251,231801,1774,20351,234,617,43,3224,16145,84,15241,331,94,8987,385,3568,1006,31,"Y","Y",3,8,94,"36","033",2003,"02",1
"5708","NY","NY0130","2000163835","THE WEAD LIBRARY, THE MALONE CTRL SCH DIST PL","64 ELM STREET","MALONE","12953","1594","64 ELM STREET","MALONE","12953","1594","FRANKLIN","5184835251","M","ME","SC","SO","Y","SD1",20220,20220,1,0,0,1.8,1.8,4.5,6.3,383946,5365,0,10421,399732,180529,42445,222974,51328,46696,320998,0,46437,417,696,105,2665,31610,6568,64091,455,568,20478,1992,5230,0,16,"Y","Y",5,5,155,"36","033",2003,"02",1
"5709","NY","NY0131","2000165850","SARANAC LAKE FREE LIBRARY","100 MAIN STREET","SARANAC LAKE","12983","1790","100 MAIN STREET","SARANAC LAKE","12983","1790","FRANKLIN","5188914190","WWW.NC3R.ORG/SLFL","ME","NP","SO","Y","OTH",14188,14188,1,0,0,1.88,2.81,1.66,4.47,64539,4029,752,143576,212896,123809,10917,134726,27098,50813,212637,36241,31488,761,754,83,2346,75381,4446,66845,495,761,17652,880,0,1679,15,"Y","Y",5,6,480,"36","033",2003,"02",1
"5710","NY","NY0132","2000166520","TUPPER LAKE PUBLIC LIBRARY","41 LAKE STREET","TUPPER LAKE","12986","1610","41 LAKE STREET","TUPPER LAKE","12986","1610","FRANKLIN","5183599421","-3","ME","SC","SO","Y","SD1",6444,6444,1,0,0,0,0.88,2.1,2.98,133137,2618,0,7206,142961,69808,20622,90430,23724,16351,130505,0,44409,1385,367,138,2366,38220,477,53121,347,162,8213,80,0,0,1,"N","Y",1,7,105,"36","033",2003,"02",1
"5711","NY","NY0134","2400050330","SEYMOUR PUBLIC LIBRARY DISTRICT","176-178 GENESEE STREET","AUBURN","13021","3404","176-178 GENESEE STREET","AUBURN","13021","3404","CAYUGA","3152522571","WWW.SEYMOURLIBRARY.ORG","ME","SD","SO","Y","OTH",33579,33579,1,0,0,1.8,2.1,8.3,10.4,327500,11125,0,185474,524099,277222,28602,305824,110316,131374,547514,0,105956,1237,608,980,2706,130000,40000,127018,2110,1524,47897,4773,0,19595,20,"Y","Y",9,12,550,"36","011",2003,"02",1
"5712","NY","NY0135","2400050340","AURORA FREE LIBRARY","370 MAIN STREET","AURORA","13026","0085","P.O. BOX 85","AURORA","13026","0085","CAYUGA","3153648074","WWW.FLLS.ORG/AURORALIB/","ME","NP","SO","Y","OTH",720,720,1,0,0,0,0.4,0.15,0.55,24250,4868,0,30402,59520,NA,NA,NA,7311,NA,52137,11169,6707,266,294,2,1025,3263,615,8201,389,1221,4900,1745,0,4500,16,"Y","Y",1,3,20,"36","011",2003,"02",1
"5713","NY","NY0136","2400051140","STEWART B. LANG MEMORIAL LIBRARY","2577 EAST MAIN STREET","CATO","13033","0058","P.O. BOX 58","CATO","13033","0058","CAYUGA","3156262101","WWW.FLLS.ORG/MEMBERPAGES/CATO.HTM","ME","NP","SO","Y","OTH",5170,5170,1,0,0,0,0.75,0.52,1.27,34500,2400,0,33072,69972,NA,NA,NA,11218,NA,60908,2000,11810,179,551,39,1820,9200,1097,30841,1625,1683,15470,722,11,140,50,"Y","Y",1,4,44,"36","011",2003,"02",1
"5714","NY","NY0137","2400052175","VILLAGE OF FAIR HAVEN PUBLIC LIBRARY","14426 SOUTH RICHMOND AVENUE","FAIR HAVEN","13064","M","P.O. BOX 602","FAIR HAVEN","13064","0602","CAYUGA","3159475851","WWW.FAIRHAVENLIBRARY.ORG","ME","CI","SO","Y","OTH",884,884,1,0,0,0,0.54,0,0.54,21000,1500,0,3312,25812,NA,NA,NA,3657,NA,21848,0,11795,152,253,25,1066,6525,4150,5916,657,437,1637,600,0,4620,27,"Y","Y",1,4,35,"36","011",2003,"02",1
"5715","NY","NY0138","2400054250","POWERS LIBRARY ASSOCIATION","29 CHURCH STREET","MORAVIA","13118","0071","P.O. BOX 71","MORAVIA","13118","0071","CAYUGA","3154971955","WWW.FLLS.ORG/POWERS/","ME","NP","SO","Y","OTH",1363,1363,1,0,0,0,0.37,0.55,0.92,24300,1500,0,203681,229481,NA,NA,NA,9846,NA,47657,339883,10794,40,25,26,1352,2750,350,12032,405,2105,4228,250,0,2475,20,"Y","Y",2,4,30,"36","011",2003,"02",1
"5716","NY","NY0139","2400055250","HAZARD LIBRARY ASSOCIATION","2487 ROUTE 34B","POPLAR RIDGE","13139","0003","BOX 3","POPLAR RIDGE","13139","0003","CAYUGA","3153647975","WWW.FLLS.ORG/POPLAR/","ME","NP","SO","Y","OTH",1286,1286,1,0,0,0,0.74,0,0.74,21200,1500,0,16093,38793,NA,NA,NA,3511,NA,31785,1523,7112,139,186,2,1092,6609,425,13810,407,1858,6619,996,0,4500,11,"Y","Y",1,3,20,"36","011",2003,"02",1
"5717","NY","NY0140","2400056560","SPRINGPORT FREE LIBRARY","171 CAYUGA STREET","UNION SPRINGS","13160","0501","P.O. BOX 501","UNION SPRINGS","13160","0501","CAYUGA","3158897766","WWW.FLLS.ORG/SPRINGPORT/INDEX.HTM","ME","NP","SO","Y","OTH",2256,2256,1,0,0,0.75,1.25,0.04,1.29,32700,4225,0,9618,46543,NA,NA,NA,7573,NA,49866,0,9279,457,407,14,1144,6896,516,25292,687,2535,6861,533,0,0,86,"Y","Y",1,4,15,"36","011",2003,"02",1
"5718","NY","NY0141","2400056910","WEEDSPORT FREE LIBRARY","2795 EAST BRUTUS STREET","WEEDSPORT","13166","1165","P.O. BOX 1165","WEEDSPORT","13166","1165","CAYUGA","3158346222","WWW.FLLS.ORG/WEEDSPORT","ME","NP","SO","Y","OTH",4777,4777,1,0,0,0.55,1.18,1.17,2.35,76042,1554,0,16921,94517,42350,5322,47672,9046,28019,84737,0,11601,105,286,22,2408,21636,750,26562,802,1749,12826,2768,0,4500,50,"Y","Y",4,4,200,"36","011",2003,"02",1
"5719","NY","NY0142","2400111370","KELLOGG FREE LIBRARY","5681 TELEPHONE ROAD EXTENSION","CINCINNATUS","13040","M","P.O. BOX 150","CINCINNATUS","13040","M","CORTLAND","6078634300","WWW.FLLS.ORG/MEMBERPAGES/CINCIN.HTM","ME","NP","SO","Y","OTH",1051,1051,1,0,0,0,1.2,0.27,1.47,0,2749,0,125549,128298,NA,NA,NA,15596,NA,114274,0,17159,816,640,117,1118,11621,3901,25968,131,1040,9489,245,0,0,2,"Y","Y",2,3,35,"36","023",2003,"02",1
"5720","NY","NY0143","2400111610","CORTLAND FREE LIBRARY","32 CHURCH STREET","CORTLAND","13045","M","32 CHURCH STREET","CORTLAND","13045","M","CORTLAND","6077531042","M","ME","NP","SO","Y","OTH",25617,25617,1,0,0,0.92,1.85,5.79,7.64,281100,10570,0,55209,346879,150045,22808,172853,99089,68687,340629,1155,121384,1131,0,398,2896,93322,4190,84014,464,102,47637,227,0,638,3,"Y","Y",1,5,312,"36","023",2003,"02",1
"5721","NY","NY0144","2400113010","PHILLIPS FREE LIBRARY","37 SOUTH MAIN STREET","HOMER","13077","0007","P.O. BOX 7","HOMER","13077","0007","CORTLAND","6077494616","WWW.FLLS.ORG/MEMBERPAGES/HOMER.HTM","ME","NP","SO","Y","OTH",3368,3368,1,0,0,0.96,1.84,1.01,2.85,74750,1500,0,8841,85091,56298,5500,61798,18272,21964,102034,0,16752,450,154,41,1842,9476,2020,32520,1334,2122,12210,215,0,0,0,"Y","Y",0,4,36,"36","023",2003,"02",1
"5722","NY","NY0145","2400113810","LAMONT MEMORIAL FREE LIBRARY","5 MAIN STREET","MCGRAW","13101","0559","P.O. BOX 559","MCGRAW","13101","0559","CORTLAND","6078366767","WWW.FLLS.ORG/LAMONT","ME","CI","SO","Y","OTH",1000,1000,1,0,0,0,0.75,0.22,0.97,35350,3000,0,4617,42967,NA,NA,NA,8058,NA,49439,64294,10649,71,187,73,1196,8739,935,12189,487,952,4090,1280,0,4500,11,"Y","Y",2,4,42,"36","023",2003,"02",1
